PrdName,CLen,ILth,ILcr,Iso,CR,ExL,Tens,Left_W,Left_H,Right_W,Right_H,JDG,isPacking,ProofTens,MaxElonTens,isBroken,RL_Requirement,FOVCPLSerial,Tens_BeforeUV,Tens_AfterRiUV,Tens_AfterLeUV,ElongDate
A012CS4826D065Y04,10.298,2.67,3.53,0.86,45.1,0.07,8.3,15.5,3ST1656-2,0,0,CS/2023-11-05,FALSE,0,8.8,FALSE,FALSE,2400378057-00027,0,0,0,13:56.0
A012CS4826D065Y06,9.687,4.02,3.09,0.93,55.4,0.52,9.4,15,3ST1656-1,0,0,CS/2023-11-05,FALSE,0,9.2,FALSE,FALSE,2400378057-00025,0,0,0,31:15.0
A012CS4826D065Y07,10.198,2.25,4.13,1.88,39.4,0.08,9.1,15.5,3ST1656-1,0,0,CS/2023-11-05,FALSE,0,9.3,FALSE,FALSE,2400378057-00024,0,0,0,47:56.0
A012CS4826D065Y09,10.426,2.81,3.35,0.54,46.9,0.06,8.4,14.9,3ST1656-1,0,0,CS/2023-11-05,FALSE,0,9,FALSE,FALSE,2400378057-00014,0,0,0,09:33.0
A012CS4826D065Y10,10.404,2.82,3.34,0.52,47,0.06,8.8,14.9,3ST1656-1,0,0,CS/2023-11-05,FALSE,0,9.3,FALSE,FALSE,2400378057-00015,0,0,0,48:21.0
A012CC7830N065Y15,10.72,3.06,3.22,0.16,49,0.13,7.7,14.9,3ST1656-2,0,0,CC/2021-06-13,FALSE,0,8.2,FALSE,FALSE,2400378057-00046,0,0,0,53:39.0
A012CC7830N075Y04,11.604,3.13,3.24,0.11,49.3,0.17,7.4,15.3,3ST1656-3,0,0,CC/2021-06-13,FALSE,0,8.6,FALSE,FALSE,2400378057-00083,0,0,0,31:20.0
A015CT8767N055Y02,10.486,36.12,0.11,36.01,100,0.11,7.8,15.2,SK2303071I-00J0G01-9112010,0,0,CT/2021-12-06,FALSE,0,8.1,FALSE,FALSE,2400373259-00159,0,0,0,40:55.0
A015CT8767N045Y22,10.347,34.04,0.07,33.97,100,0.07,6,15.1,SK2303071I-00J0G01-9112010,0,0,CT/2021-12-06,FALSE,0,6.3,FALSE,FALSE,2400373259-00069,0,0,0,02:15.0
A012CC7830N075Y06,11.666,4.29,2.3,1.99,61.3,0.17,7.3,15,3ST1656-3,0,0,CC/2021-06-13,FALSE,0,8.6,FALSE,FALSE,2400378057-00078,0,0,0,05:53.0
T020CP0898N075Y06,10.946,35.14,0.07,35.07,100,0.07,8,93.3,SK2303071I-00J0G01-9112010,0,0,CP/2020-10-24,FALSE,0,8.4,FALSE,FALSE,2400374586-00020,0,0,0,49:52.0
A009CT8750N075Y04,10.522,0.15,15.17,15.02,3.1,0.01,8.5,15.1,3ST1656-3,0,0,CT/2021-12-06,FALSE,0,10,FALSE,FALSE,2400373238-00010,0,0,0,12:39.0
A012CS9156N075Y05,10.223,2.89,3.28,0.39,47.7,0.07,8.6,15.3,3ST1656-3,0,0,CS/2023-11-05,FALSE,0,9.2,FALSE,FALSE,2400378057-00073,0,0,0,43:47.0
A012CQ2055N075Y04,10.27,2.95,3.13,0.18,48.9,0.03,20,502.8,3ST1656-3,1,0,CQ/2021-06-03,FALSE,251.3,11.8,FALSE,FALSE,2400378057-00084,0,0,0,26:55.0
S003CB0184N065Y16,0,0,0,0,0,0,0,14.9,SK2303071I-00J0G01-9112010,0,0,CB/2021-04-21,FALSE,0,0,FALSE,FALSE,2400378937-00010,0,0,0,52:00.0
A011SA8407D075Y09,11.094,3.1,2.91,0.19,51.1,0,6.9,83.8,SK2303071I-00J0G01-9112010,0,0,SA/2021-03-05,FALSE,0,7.2,FALSE,FALSE,2400378050-00064,0,0,0,14:37.0
A012CA0184N065Y10,11.093,3.44,2.79,0.65,53.7,0.09,10,18.5,3ST1656-2,0,0,CA/2021-06-24,FALSE,0,9.7,FALSE,FALSE,2400378057-00062,0,0,0,34:13.0
S003CF8669N065Y10,10.506,3.24,2.94,0.3,51.7,0.08,2.2,79.4,SK2303071I-00J0G01-9112010,0,0,CF/2022-10-16,FALSE,0,3.1,FALSE,FALSE,2400378937-00003,0,0,0,55:27.0
T008SB0319N065Y10,9.94,0.5,10.91,10.41,8.3,0.12,9.2,15.3,3ST1656-2,0,0,SB/2021-02-27,FALSE,0,9.9,FALSE,FALSE,2400378947-00044,0,0,0,58:51.0
A011SA8407D065Y13,11.087,3.11,2.91,0.2,51.1,0,6.6,16.7,SK2303221I-00J0G01-X112010,0,0,SA/2021-03-05,FALSE,0,7.1,FALSE,FALSE,2400378050-00028,0,0,0,13:11.0
